date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:27	404095/404095	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2020:29:27%20GMT	https://www.ferrari.com/es-ES	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/es-ES.html	(from )
15:29:27	268/268	---MCZ	200	added ('OK')	text/plain	date:Sun,%2027%20Oct%202024%2020:29:27%20GMT	https://www.ferrari.com/robots.txt		(from )
15:29:27	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20Oct%202024%2020:29:28%20GMT	https://www.ferrari.com/static/favicon.ico	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/favicon.ico	(from https://www.ferrari.com/es-ES)
15:29:28	1272/1272	---M--	200	added ('OK')	image/png	etag:W/%224f8-1864bcd5fa0%22	https://www.ferrari.com/static/favicon_32x32.png	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/favicon_32x32.png	(from https://www.ferrari.com/es-ES)
15:29:28	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20Oct%202024%2020:29:29%20GMT	https://www.ferrari.com/static/favicon_16x16.png	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/favicon_16x16.png	(from https://www.ferrari.com/es-ES)
15:29:28	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20Oct%202024%2020:29:29%20GMT	https://www.ferrari.com/static/favicon_96x96.png	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/favicon_96x96.png	(from https://www.ferrari.com/es-ES)
15:29:28	19331/19331	---M--	200	added ('OK')	image/png	etag:W/%224b83-1864bcd5fa0%22	https://www.ferrari.com/static/favicon_256x256.png	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/favicon_256x256.png	(from https://www.ferrari.com/es-ES)
15:29:29	222613/222613	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202010%2007:01:40%20GMT	https://www.ferrari.com/ruxitagentjs_ICA7NVfqrux_10299241001084140.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/ruxitagentjs_ICA7NVfqrux_10299241001084140.js	(from https://www.ferrari.com/es-ES)
15:29:29	1208/1208	---M-Z	200	added ('OK')	application/javascript	etag:W/%2229e80864e2dd91e772f91670382c73bb%22	https://ferrari-cdn.thron.com/shared/plugins/tracking/current/bootstrapper-min.js	C:/Mis%20lugares%20Web/prueva/ferrari-cdn.thron.com/shared/plugins/tracking/current/bootstrapper-min.js	(from https://www.ferrari.com/es-ES)
15:29:29	176512/176512	---M-Z	200	added ('OK')	application/javascript	etag:W/%22345f006e2a0f4189f0694c3a01780549%22	https://ferrari-cdn.thron.com/shared/plugins/tracking/current/tracking-library-min.js	C:/Mis%20lugares%20Web/prueva/ferrari-cdn.thron.com/shared/plugins/tracking/current/tracking-library-min.js	(from https://www.ferrari.com/es-ES)
15:29:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2027%20Oct%202024%2020:29:33%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/prueva/www.googletagmanager.com/gtm.95445.delayed	(from https://www.ferrari.com/es-ES)
15:29:32	1473/1473	---MCZ	200	added ('OK')	text/css	etag:W/%225c1-1864bcd5fa0%22	https://www.ferrari.com/static/css/nprogress.css	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/static/css/nprogress.css	(from https://www.ferrari.com/es-ES)
15:29:32	31069/31069	---MCZ	200	added ('OK')	text/css	etag:W/%22795d-1922e3ff748%22	https://www.ferrari.com/_next/static/css/styles.d6a98ee8.chunk.css	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/css/styles.d6a98ee8.chunk.css	(from https://www.ferrari.com/es-ES)
15:29:32	4525708/4525708	---MCZ	200	added ('OK')	text/css	etag:W/%22450e8c-1922e3ff748%22	https://www.ferrari.com/_next/static/css/021345939ae0f5f17a0f7c183e4bba1ccb303e94.b06d76cf.chunk.css	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/css/021345939ae0f5f17a0f7c183e4bba1ccb303e94.b06d76cf.chunk.css	(from https://www.ferrari.com/es-ES)
15:29:33	5156/5156	---MCZ	200	added ('OK')	application/javascript	etag:W/%221424-1922e3ff748%22	https://www.ferrari.com/_next/static/Cz3kCnOH7ZC156v-nxxwr/pages/index.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/Cz3kCnOH7ZC156v-nxxwr/pages/index.js	(from https://www.ferrari.com/es-ES)
15:29:33	99580/99580	---MCZ	200	added ('OK')	application/javascript	etag:W/%22184fc-1922e3ff748%22	https://www.ferrari.com/_next/static/Cz3kCnOH7ZC156v-nxxwr/pages/_app.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/Cz3kCnOH7ZC156v-nxxwr/pages/_app.js	(from https://www.ferrari.com/es-ES)
15:29:33	1531/1531	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb-18c81b66ed0%22	https://www.ferrari.com/_next/static/runtime/webpack-4b444dab214c6491079c.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/runtime/webpack-4b444dab214c6491079c.js	(from https://www.ferrari.com/es-ES)
15:29:33	131385/131385	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220139-18d36143ee8%22	https://www.ferrari.com/_next/static/chunks/framework.4627232918288795dbae.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/chunks/framework.4627232918288795dbae.js	(from https://www.ferrari.com/es-ES)
15:29:33	251467/251467	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d64b-18d36143ee8%22	https://www.ferrari.com/_next/static/chunks/36a89214.b1a5a88b2948a5fb7bf2.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/chunks/36a89214.b1a5a88b2948a5fb7bf2.js	(from https://www.ferrari.com/es-ES)
15:29:34	377644/377644	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c32c-18cf7c637e0%22	https://www.ferrari.com/_next/static/chunks/commons.6176a172b10ba5e0611e.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/chunks/commons.6176a172b10ba5e0611e.js	(from https://www.ferrari.com/es-ES)
15:29:34	553/553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22229-19112a25c20%22	https://www.ferrari.com/_next/static/chunks/styles.382cdf5b0b32fc284cd5.js	C:/Mis%20lugares%20Web/prueva/www.ferrari.com/_next/static/chunks/styles.382cdf5b0b32fc284cd5.js	(from https://www.ferrari.com/es-ES)
